name,visitors,bounce_rate,visit_duration
Direct / None,627,57,79
google.com,279,71,53
bing.com,34,65,49
facebook.com,12,42,3
chatgpt.com,9,33,80
linkedin.com,8,62,50
metajob.de,8,0,659
duckduckgo.com,6,67,35
xcom.live,6,50,144
android-app://com.linkedin.android,5,80,28
bo.weglot.com,4,0,162
l.instagram.com,4,50,60
m.facebook.com,4,25,22
dashboard.weglot.com,3,0,216
de.search.yahoo.com,3,100,0
ecosia.org,3,33,31
link.edgepilot.com,3,33,44
m.baidu.com/s,2,100,0
perplexity.ai,2,0,20
secure.helpscout.net,2,0,53
yandex.ru,2,0,1730
bayern.jobs,1,0,38
branchenbuch.meinestadt.de/grafrath/company/500236570,1,100,0
elevenonemore.de,1,0,57
ensun.io,1,100,0
gemini.google.com,1,0,146
globalstepstone.lightning.force.com,1,100,0
google.com.hk,1,0,28
google.de,1,100,0
l.facebook.com,1,100,0
scherer-schmid.de,1,0,246
web2.cylex.de,1,100,0
